iter	F1	Logloss
0	0.4815142701	0.6881001407
1	0.5160816683	0.6837297749
2	0.5032178725	0.680064475
3	0.5066829417	0.6770240998
4	0.5139921426	0.6746470893
5	0.5185761292	0.6721962198
6	0.5265428588	0.6699858849
7	0.5170825876	0.6682370944
8	0.5176105945	0.6668461689
9	0.5159634659	0.6654575899
10	0.5160259651	0.664327289
11	0.5189615935	0.6632010155
12	0.5204624184	0.6624246487
13	0.5228393824	0.6614751995
14	0.5223850632	0.6608792743
15	0.5224216147	0.6605574093
16	0.523103469	0.6598048357
17	0.523592574	0.6592819066
18	0.5239157074	0.6586851212
19	0.524963363	0.6582167576
20	0.5274193226	0.6577904524
21	0.5260563804	0.6574963605
22	0.5270300022	0.6571215045
23	0.529782314	0.6566071436
24	0.5302773851	0.6562928966
25	0.5317160469	0.655791554
26	0.5328828381	0.6552452757
27	0.5326838966	0.6550412021
28	0.5340712968	0.6548567786
29	0.5343726447	0.6546607481
30	0.5350449701	0.6543497686
31	0.5369536005	0.6539975649
32	0.5374130847	0.6539170384
33	0.5381305755	0.6536856271
34	0.5383415905	0.6535320542
35	0.5383841373	0.653456245
36	0.5389861243	0.6533492634
37	0.5394749798	0.6532280019
38	0.5393648042	0.6531001273
39	0.5392908528	0.6529351722
40	0.540221286	0.6527231199
41	0.5403809824	0.6525732246
42	0.5402767117	0.6525693851
43	0.5406543251	0.6525497347
44	0.541142666	0.6520604492
45	0.5413001122	0.6519468593
46	0.5415453616	0.6517977096
47	0.5416199414	0.6516398122
48	0.5417027303	0.6515267778
49	0.5421748367	0.6513696574
50	0.5423908769	0.6512912888
51	0.5425634373	0.6512290392
52	0.5427566282	0.6511303061
53	0.5426499774	0.6510456045
54	0.5434082338	0.650797748
55	0.543593572	0.6506503732
56	0.5438155466	0.6505455634
57	0.5438799756	0.6504361915
58	0.5447157663	0.6503127667
59	0.5445587312	0.6502333143
60	0.5452440747	0.6501305089
61	0.5450800377	0.6500874401
62	0.5458254065	0.649658572
63	0.5458075905	0.6496506382
64	0.5458503295	0.6495822522
65	0.5458966565	0.6495705064
66	0.546142535	0.6495061458
67	0.5462601706	0.6494440701
68	0.546370533	0.6493561117
69	0.5463313273	0.6493265905
70	0.546356188	0.6493121231
71	0.5463062781	0.6493050416
72	0.5464202419	0.6492026279
73	0.5467157862	0.649146534
74	0.5475910693	0.6489491444
75	0.5478008851	0.6489414982
76	0.547833069	0.6488693027
77	0.5480047799	0.6487265079
78	0.5479800948	0.648698237
79	0.5484590986	0.6486331967
80	0.5485512921	0.6486023375
81	0.5487532783	0.6484118422
82	0.5487532783	0.6483136943
83	0.5488339333	0.6481644252
84	0.5487733302	0.6481588599
85	0.5490464548	0.6481338692
86	0.5489360038	0.6480997885
87	0.5491246944	0.6480282944
