iter	F1	Logloss
0	0.5184503291	0.6882588192
1	0.5083602642	0.6839109818
2	0.489824854	0.6806255863
3	0.4956269422	0.6776718472
4	0.5157212641	0.6746988135
5	0.5111795367	0.6720783174
6	0.514806011	0.6697511294
7	0.5104755706	0.6678357271
8	0.5087475474	0.666279255
9	0.5096733335	0.6652034631
10	0.5140792172	0.6640547567
11	0.5160349854	0.6631652244
12	0.5196066578	0.6619618622
13	0.5202787064	0.6611324392
14	0.5230349586	0.6603070441
15	0.5262652531	0.6596091624
16	0.526412531	0.6589784653
17	0.528386891	0.6581458418
18	0.5283711283	0.6577849601
19	0.5301180828	0.6571969496
20	0.5299295073	0.6568530093
21	0.5305164319	0.6565512353
22	0.5312164686	0.6561797028
23	0.5308443172	0.6561129437
24	0.5314987988	0.6558430965
25	0.532767207	0.6555690775
26	0.5337377101	0.655099227
27	0.5339332435	0.6548121738
28	0.5341700982	0.6545025406
29	0.5341728043	0.6544680033
30	0.5344121545	0.6542554227
31	0.5357164017	0.6541311839
32	0.5360218027	0.653924623
33	0.5371126497	0.6536156396
34	0.5369040101	0.6535256353
35	0.5374953168	0.6534185846
36	0.5382279879	0.6531619758
37	0.5384387878	0.6530801838
38	0.5381169459	0.6529680428
39	0.538561679	0.652836723
40	0.5381426202	0.6527186176
41	0.5384509018	0.6525153747
42	0.5387150893	0.6523774087
43	0.5386834203	0.6522615298
44	0.5384615385	0.6522013794
45	0.5389583457	0.6521473329
46	0.5401154885	0.6518476254
47	0.5403329065	0.651769423
48	0.5402699773	0.6517115835
49	0.5402072416	0.651592557
50	0.5402253566	0.6515293325
51	0.5402966845	0.6514814746
52	0.5407098121	0.651346287
53	0.5410629921	0.6512758476
54	0.5410671758	0.6512379843
55	0.5426883135	0.6509414613
56	0.5425671829	0.6508624219
57	0.5426362673	0.6507501547
58	0.5433985929	0.6506133975
59	0.5436516491	0.6505161561
60	0.5436409955	0.6504891236
61	0.5439840201	0.6503660366
62	0.5436413863	0.6502781305
63	0.5435093563	0.6501306155
64	0.5431948719	0.6500230419
65	0.5430520703	0.649979347
66	0.5433700466	0.6499117907
67	0.5435264138	0.6498603734
68	0.5441366611	0.6497864509
69	0.5442509939	0.6497480575
70	0.544454234	0.6496209036
71	0.5442904135	0.6495794641
72	0.544414852	0.6494462908
73	0.5445467006	0.6494072358
74	0.5449776873	0.649315733
75	0.5450596752	0.6492579454
76	0.5457498435	0.6489914964
77	0.5458317025	0.6489162156
78	0.5466851855	0.6488399334
79	0.5462586099	0.6488055314
80	0.5463655224	0.6487853639
81	0.5462551618	0.6487026153
82	0.5461803381	0.648624732
83	0.5463084359	0.6486089916
84	0.5458745229	0.6484731393
85	0.5459136733	0.6484583427
86	0.5469018933	0.6481131583
87	0.5468523808	0.6480780088
88	0.5468490149	0.6479837977
89	0.5468416831	0.6479252719
90	0.5468205831	0.647890566
91	0.5468887627	0.6478051518
92	0.5474318351	0.6476299326
93	0.5474532509	0.6476195543
94	0.5474285491	0.6475916137
95	0.5474425428	0.6475439154
96	0.5474779479	0.6475217693
97	0.5476204448	0.647458558
98	0.5478374836	0.6473687019
99	0.5477881474	0.6473423373
100	0.5481927711	0.6471792269
101	0.5477961325	0.6471046237
102	0.5476642464	0.6470494484
103	0.5482432115	0.6469407703
104	0.548500606	0.6468578308
105	0.5485182579	0.6468357568
106	0.5491752013	0.6467767669
107	0.5491575779	0.6467490974
108	0.5493285376	0.6466618347
109	0.5498112396	0.6460949422
110	0.5505466351	0.6454520531
111	0.5508085173	0.645394264
112	0.5512955798	0.6452406918
113	0.5512238993	0.6451693353
114	0.5512048193	0.6450926493
115	0.5513910884	0.64506063
116	0.5514733199	0.6449476166
117	0.5520439913	0.644505977
118	0.5521450789	0.6443403175
119	0.5526938496	0.6439620584
120	0.5532588309	0.6435134064
121	0.5531956467	0.6434822432
122	0.5544736072	0.643089985
123	0.5557202481	0.6428615288
124	0.5562681534	0.6426307405
125	0.5561165806	0.6425807247
126	0.5563094681	0.6424978623
127	0.556562762	0.6423765739
128	0.5570207047	0.6422103921
129	0.5569758379	0.642120756
130	0.5573508488	0.6420498181
131	0.5574396757	0.6420018085
132	0.5574869436	0.6419388002
133	0.5576428404	0.6419183379
134	0.5588613264	0.6415945439
135	0.5589999221	0.6415166356
136	0.5591029435	0.6413727381
