iter	F1	Logloss
0	0.4788259254	0.6885719982
1	0.5132336478	0.6845818215
2	0.5010291454	0.6813459859
3	0.4959860601	0.6787222152
4	0.490491035	0.6760328155
5	0.4999896671	0.6734006792
6	0.4992867332	0.6714757453
7	0.503565393	0.6693459759
8	0.5071819355	0.667919999
9	0.5107008059	0.666113702
10	0.5135332549	0.6648180462
11	0.512243817	0.6635210328
12	0.5117703506	0.6624646439
13	0.5164516978	0.6616898397
14	0.5142857143	0.6611521359
15	0.5156437415	0.6605522449
16	0.5176017044	0.6599624576
17	0.5202050785	0.6591996263
18	0.5205484993	0.6585224385
19	0.5237376482	0.6579046519
20	0.5261321946	0.657403941
21	0.525521972	0.6569822985
22	0.5259358771	0.6565397221
23	0.5274558085	0.6560978427
24	0.5271904533	0.6558365616
25	0.5275297321	0.6555011686
26	0.5290709291	0.6551590974
27	0.5282128213	0.6549926652
28	0.5288380831	0.6546470878
29	0.5304819662	0.6543823955
30	0.5296913063	0.6542352938
31	0.5297172072	0.6541382412
32	0.5313616316	0.6536314084
33	0.5324053763	0.6532506304
34	0.5333758038	0.6530118957
35	0.5341501253	0.6526591024
36	0.5344100565	0.6525844842
37	0.5346377157	0.6524532682
38	0.5352800954	0.6521553815
39	0.5351832711	0.6519783847
40	0.5351300857	0.6518407084
41	0.5360243142	0.6516038148
42	0.536066909	0.6515266738
43	0.5367568212	0.6513601042
44	0.5364846077	0.6512450656
45	0.5373057406	0.6511299575
46	0.5377106311	0.651061261
47	0.5379482407	0.6510182847
48	0.538030456	0.650902112
49	0.5390612633	0.6507734494
50	0.5387782573	0.6507484354
51	0.5387234717	0.6506568855
52	0.5402858613	0.6499163454
53	0.5404603115	0.6498569768
54	0.5407533434	0.6498045482
55	0.5407886666	0.6497648565
56	0.5408859783	0.6497027492
57	0.5403222614	0.6495857915
58	0.540472092	0.6495064681
59	0.5404613984	0.6495034486
60	0.5406848015	0.6494479768
61	0.5413224774	0.6493376701
62	0.541597535	0.6492059803
63	0.5418493502	0.6490592992
64	0.5418995517	0.6490135633
65	0.5422543558	0.6489186469
66	0.5421981754	0.6488627411
67	0.5424210713	0.6488469924
68	0.5426653504	0.6488044361
69	0.5426344351	0.6486854503
70	0.5430014202	0.6486190453
71	0.5434868317	0.6481534898
72	0.5435013995	0.648146085
73	0.5440397155	0.648064138
74	0.5441686367	0.6480120531
75	0.5438987362	0.6479008374
76	0.5440857672	0.6478231878
77	0.5440785195	0.6477969606
78	0.5446484868	0.6476976987
79	0.544498079	0.6476844636
80	0.5445482129	0.6476334113
81	0.5445478199	0.6476218934
82	0.5445765084	0.6475432228
83	0.5443898977	0.6474419307
84	0.5446623953	0.6473534306
85	0.544870405	0.6473237892
86	0.5449422706	0.6472683754
87	0.544924223	0.6472213602
88	0.5460093712	0.6466075787
89	0.5465100262	0.6465697637
90	0.5465532853	0.6465234891
91	0.5468500915	0.6463866945
92	0.5467640056	0.6463627842
93	0.5466356943	0.646313022
94	0.5466750659	0.6462224441
95	0.5468402292	0.6461457281
96	0.5466611528	0.6461316835
97	0.5469082316	0.646075598
98	0.5473410644	0.6460073853
99	0.5474765766	0.6459254016
100	0.5475267209	0.6459142265
101	0.5486579491	0.645581371
102	0.5496494983	0.6453263824
103	0.5500775559	0.645221969
104	0.5504072221	0.6451403622
105	0.5506308003	0.6450916466
106	0.5510015892	0.6447223054
107	0.5509867776	0.6446982338
108	0.5513670419	0.6446263214
109	0.5513982037	0.6445851982
110	0.5514266105	0.6445851388
111	0.5516064493	0.6443568665
112	0.552036554	0.6442294382
113	0.5527388136	0.6438469012
114	0.5529063731	0.6437991766
115	0.553160638	0.6437542317
116	0.5532006582	0.6437080148
117	0.5537973444	0.6432923377
118	0.553786499	0.6432904146
119	0.5539148486	0.6431672057
120	0.5542786664	0.6431250395
121	0.5545685776	0.6430725418
122	0.5551381388	0.6427538245
123	0.5552230632	0.6425169685
124	0.5553600063	0.642384252
125	0.5558856875	0.6423069391
126	0.5558466953	0.6422354799
127	0.5561376075	0.6422018174
128	0.5570619262	0.6419709468
129	0.5575499521	0.641570624
130	0.5576460934	0.6413932137
