iter	Logloss
0	0.6868139131
1	0.6818339914
2	0.6776227173
3	0.6745060065
4	0.6712280224
5	0.668830649
6	0.6665542781
7	0.6649872042
8	0.663268599
9	0.6618324466
10	0.6604105995
11	0.6597886484
12	0.658516918
13	0.6575319535
14	0.6567160811
15	0.6561483437
16	0.6555094292
17	0.654898086
18	0.6543733181
19	0.6538406947
20	0.6535368567
21	0.6530342596
22	0.6524156507
23	0.6518130079
24	0.6512573477
25	0.6511805826
26	0.6507675345
27	0.6505233252
28	0.6503928308
29	0.6503341478
30	0.6498047862
31	0.6493455675
32	0.6490653446
33	0.6488827621
34	0.6486144873
35	0.6484215185
36	0.6480730681
37	0.6477628386
38	0.6477406015
39	0.6474538924
40	0.6472999613
41	0.6470565138
42	0.6469503556
43	0.646743783
44	0.6465956527
45	0.6462728306
46	0.6460616899
47	0.6458250017
48	0.6449062883
49	0.6448458384
50	0.6445012748
51	0.6442534608
52	0.644093268
53	0.6438335653
54	0.6437080883
55	0.6436949523
56	0.6436949388
57	0.6434714076
58	0.6433937932
59	0.6424017055
60	0.6423149496
61	0.6422467542
62	0.6420985147
63	0.6419283283
64	0.641733593
65	0.640863667
66	0.6400654989
67	0.6399346208
68	0.6393384293
69	0.6390274233
70	0.6387431711
71	0.638106169
72	0.6376575479
73	0.6374818355
74	0.6374140369
75	0.6365215915
76	0.6363362372
77	0.6363327416
78	0.6359941653
79	0.6359356326
80	0.6358583349
81	0.6357357541
82	0.6356963142
83	0.6355376278
84	0.6352836046
85	0.6352334257
86	0.6350029979
87	0.6348333276
88	0.6346276981
89	0.63454873
90	0.6341845908
91	0.634140184
92	0.6339669372
93	0.6337089839
94	0.6335326376
95	0.6333825624
96	0.6333750411
97	0.6332356404
98	0.6331357092
99	0.6328589036
100	0.6327892075
101	0.6327428661
102	0.6325579082
103	0.6324747188
104	0.6320806246
105	0.6319651717
106	0.6317882093
107	0.6311454973
108	0.6306578238
109	0.6303879159
110	0.6301605478
111	0.6298231358
112	0.6294435247
113	0.6293248022
114	0.6292290857
115	0.6290978921
116	0.6288126932
117	0.6286241943
118	0.6280262757
119	0.6274685167
120	0.6270507921
121	0.6269287488
122	0.6265011056
123	0.6261010451
124	0.6256628397
125	0.6254731643
126	0.6250977101
127	0.6248993793
128	0.6246541777
129	0.6244933875
130	0.6243193581
131	0.6239452618
132	0.623485162
133	0.6232339845
134	0.6228922665
135	0.6226356548
136	0.6223248427
137	0.6221308405
138	0.6218579214
139	0.6215850538
140	0.6214572808
141	0.6212481963
142	0.6210856755
143	0.6209957052
144	0.6205858097
145	0.62028867
146	0.620180425
147	0.6200041375
148	0.619579945
149	0.619467235
150	0.6192109535
151	0.6188602058
152	0.6187273064
153	0.618566446
154	0.6184291991
155	0.6181992355
156	0.6179642526
157	0.6179012032
158	0.6176995298
159	0.6175756298
160	0.6174526021
161	0.617345377
162	0.6172703927
163	0.6170926293
164	0.6167766306
165	0.6164637508
166	0.6162993388
167	0.6160538536
168	0.6158640167
169	0.6155119585
170	0.61524408
171	0.6151808349
172	0.6148622166
173	0.614465449
174	0.6142783726
175	0.6141794199
176	0.6137619758
177	0.613509817
178	0.6133076456
179	0.6131597578
180	0.61296102
181	0.612574676
182	0.6123876117
183	0.6121207073
184	0.6119969474
185	0.6116723956
186	0.611389284
187	0.6112344845
188	0.6109890752
189	0.6108768541
190	0.6107198471
191	0.6105880206
192	0.6102740914
193	0.6100037781
194	0.6097373762
195	0.6096486311
196	0.6093151315
197	0.6091405194
198	0.6088762329
199	0.6086409602
200	0.6083620673
201	0.6082593252
202	0.6081008117
203	0.6079703397
204	0.6077901257
205	0.6077120333
206	0.6075033137
207	0.6073636498
208	0.6072808916
209	0.6069521933
210	0.6066942793
211	0.6064365341
212	0.6062362871
213	0.6060227244
214	0.6057778947
215	0.6055777443
216	0.6054273516
217	0.6052201645
218	0.6050423512
219	0.6048395188
220	0.6044682315
221	0.6042131555
222	0.6040423071
223	0.6038726453
224	0.6036516676
225	0.6034864681
226	0.603333184
227	0.6030444087
228	0.6028589848
229	0.6026305562
230	0.6024360545
231	0.6022759313
232	0.6021509513
233	0.6020017676
234	0.6018144524
235	0.6015052115
236	0.6013806907
237	0.6012126326
238	0.6011046499
239	0.6009927875
240	0.6006954393
241	0.6004091946
242	0.6003057585
243	0.6001223142
244	0.6000224484
245	0.5998438391
246	0.5997182329
247	0.599542586
248	0.5993659261
249	0.599133375
250	0.5989629762
251	0.5987279924
252	0.5985634004
253	0.5983663155
254	0.598217406
255	0.5981700386
256	0.5978912925
257	0.5978368625
258	0.5976158809
259	0.5974876067
260	0.5973288424
261	0.5971281633
262	0.5968793681
263	0.596744838
264	0.5965565876
265	0.5964322601
266	0.5961984081
267	0.595999821
268	0.5958500391
269	0.5957028186
270	0.5955462047
271	0.5952395659
272	0.5950610793
273	0.5949482382
274	0.5947478443
275	0.5945766443
276	0.5943734347
277	0.5942388997
278	0.5940336257
279	0.5938673544
280	0.5937146248
281	0.5934044884
282	0.593132899
283	0.5930212959
284	0.5928648191
285	0.5927032521
286	0.5925941438
287	0.5924998208
288	0.5922880506
289	0.5920393102
290	0.5919324959
291	0.5918480826
292	0.5916785989
293	0.5915992498
294	0.5913719687
295	0.5911706327
296	0.5909778952
297	0.5908872333
298	0.5905939955
299	0.5904011802
300	0.5902454098
301	0.5900448779
302	0.5898914622
303	0.5898018875
304	0.589671581
305	0.5894478269
306	0.5893265983
307	0.5891161998
308	0.5889354515
309	0.5886916526
310	0.5884843855
311	0.5883781567
312	0.5882223068
313	0.5879666205
314	0.5878372306
315	0.5876467398
316	0.5874360432
317	0.5872246639
318	0.5870529775
319	0.5869790484
320	0.586903491
321	0.5868146231
322	0.5866965444
323	0.5865164934
324	0.5863043519
325	0.5860319791
326	0.5858433227
327	0.5856978714
328	0.5855331487
329	0.585405651
330	0.5853622883
331	0.5852520533
332	0.5850745197
333	0.5849269219
334	0.5847718456
335	0.5846129589
336	0.5845446089
337	0.5843797584
338	0.5842178702
339	0.583973018
340	0.5838322311
341	0.5836900495
342	0.5835989851
